subject,native_lang,context,mat_verb,wh,emb_verb,response,list,tense
8587,EN,MST,predict,where,find,1,blue,nonfinite
9541,EN,MST,predict,where,find,1,blue,nonfinite
8602,EN,MST,predict,where,find,1,blue,nonfinite
9421,EN,MST,predict,where,find,1,blue,nonfinite
9634,EN,MST,predict,where,find,1,blue,nonfinite
8140,EN,MST,predict,where,find,0,blue,nonfinite
9313,EN,MST,predict,where,find,1,blue,nonfinite
8608,EN,MST,predict,where,find,1,blue,nonfinite
7948,EN,MST,predict,where,find,1,blue,nonfinite
9682,EN,MST,predict,where,find,1,blue,nonfinite
9631,EN,MST,predict,where,find,1,blue,nonfinite
7990,EN,MST,predict,where,find,0,blue,nonfinite
9847,EN,MST,predict,where,find,1,blue,nonfinite
8515,EN,MST,predict,where,find,1,blue,nonfinite
9712,EN,MST,predict,where,find,1,blue,nonfinite
7009,EN,MST,predict,where,find,0,blue,nonfinite
7408,EN,MST,predict,where,find,0,blue,nonfinite
9493,EN,MST,predict,where,find,1,blue,nonfinite
7846,EN,MST,predict,where,find,1,blue,nonfinite
9511,EN,MST,predict,where,find,1,blue,nonfinite
9157,EN,MST,predict,where,find,1,blue,nonfinite
9610,EN,MST,predict,where,find,1,blue,nonfinite
9661,EN,MST,predict,where,find,1,blue,nonfinite
8167,EN,MST,predict,where,find,1,blue,nonfinite
7678,EN,MST,predict,where,find,1,blue,nonfinite
11344,EN,MST,predict,where,find,0,blue,nonfinite
10813,EN,MST,predict,where,find,1,blue,nonfinite
10021,EN,MST,predict,where,find,0,blue,nonfinite
10771,EN,MST,predict,where,find,1,blue,nonfinite
10729,EN,MST,predict,where,find,1,blue,nonfinite
10897,EN,MST,predict,where,find,1,blue,nonfinite
8587,EN,MST,predict,who,recruit,1,blue,nonfinite
9541,EN,MST,predict,who,recruit,1,blue,nonfinite
8602,EN,MST,predict,who,recruit,1,blue,nonfinite
9421,EN,MST,predict,who,recruit,1,blue,nonfinite
9634,EN,MST,predict,who,recruit,0,blue,nonfinite
8140,EN,MST,predict,who,recruit,0,blue,nonfinite
9313,EN,MST,predict,who,recruit,1,blue,nonfinite
8608,EN,MST,predict,who,recruit,1,blue,nonfinite
7948,EN,MST,predict,who,recruit,0,blue,nonfinite
9682,EN,MST,predict,who,recruit,1,blue,nonfinite
9631,EN,MST,predict,who,recruit,1,blue,nonfinite
7990,EN,MST,predict,who,recruit,1,blue,nonfinite
9847,EN,MST,predict,who,recruit,1,blue,nonfinite
8515,EN,MST,predict,who,recruit,1,blue,nonfinite
9712,EN,MST,predict,who,recruit,1,blue,nonfinite
7009,EN,MST,predict,who,recruit,0,blue,nonfinite
7408,EN,MST,predict,who,recruit,1,blue,nonfinite
9493,EN,MST,predict,who,recruit,1,blue,nonfinite
7846,EN,MST,predict,who,recruit,1,blue,nonfinite
9511,EN,MST,predict,who,recruit,1,blue,nonfinite
9157,EN,MST,predict,who,recruit,1,blue,nonfinite
9610,EN,MST,predict,who,recruit,1,blue,nonfinite
9661,EN,MST,predict,who,recruit,1,blue,nonfinite
8167,EN,MST,predict,who,recruit,1,blue,nonfinite
7678,EN,MST,predict,who,recruit,1,blue,nonfinite
